Episode,Collisions,Deliveries,SuccessRate,StepsPerDelivery
658,0,9,1.0,5.555555555555555
659,0,10,1.0,5.0
660,0,7,1.0,7.142857142857143
661,0,9,1.0,5.555555555555555
662,0,4,1.0,12.5
663,0,9,1.0,5.555555555555555
664,0,8,1.0,6.25
665,0,6,1.0,8.333333333333334
666,0,9,1.0,5.555555555555555
667,0,10,1.0,5.0
668,0,10,1.0,5.0
669,0,9,1.0,5.555555555555555
670,0,4,1.0,12.5
671,0,2,1.0,25.0
672,0,10,1.0,5.0
673,0,12,1.0,4.166666666666667
674,0,7,1.0,7.142857142857143
675,0,11,1.0,4.545454545454546
676,0,8,1.0,6.25
677,0,9,1.0,5.555555555555555
678,0,8,1.0,6.25
679,0,10,1.0,5.0
680,0,6,1.0,8.333333333333334
681,0,7,1.0,7.142857142857143
682,0,9,1.0,5.555555555555555
683,0,11,1.0,4.545454545454546
684,0,8,1.0,6.25
685,0,10,1.0,5.0
686,0,8,1.0,6.25
687,0,7,1.0,7.142857142857143
688,0,3,1.0,16.666666666666668
689,0,10,1.0,5.0
690,0,7,1.0,7.142857142857143
691,0,8,1.0,6.25
692,0,6,1.0,8.333333333333334
693,0,10,1.0,5.0
694,0,11,1.0,4.545454545454546
695,0,10,1.0,5.0
696,0,7,1.0,7.142857142857143
697,0,12,1.0,4.166666666666667
698,0,10,1.0,5.0
699,0,9,1.0,5.555555555555555
700,0,11,1.0,4.545454545454546
701,0,8,1.0,6.25
702,0,5,1.0,10.0
703,0,11,1.0,4.545454545454546
704,0,10,1.0,5.0
705,0,11,1.0,4.545454545454546
706,0,10,1.0,5.0
707,0,4,1.0,12.5
708,0,7,1.0,7.142857142857143
709,0,10,1.0,5.0
710,0,8,1.0,6.25
711,0,10,1.0,5.0
712,0,3,1.0,16.666666666666668
713,0,9,1.0,5.555555555555555
714,0,11,1.0,4.545454545454546
715,0,9,1.0,5.555555555555555
716,0,12,1.0,4.166666666666667
717,0,6,1.0,8.333333333333334
718,0,10,1.0,5.0
719,0,7,1.0,7.142857142857143
720,0,12,1.0,4.166666666666667
721,0,5,1.0,10.0
722,0,12,1.0,4.166666666666667
723,0,4,1.0,12.5
724,0,9,1.0,5.555555555555555
725,0,9,1.0,5.555555555555555
726,0,12,1.0,4.166666666666667
727,0,11,1.0,4.545454545454546
728,0,9,1.0,5.555555555555555
729,0,11,1.0,4.545454545454546
730,0,10,1.0,5.0
731,0,6,1.0,8.333333333333334
732,0,8,1.0,6.25
733,0,9,1.0,5.555555555555555
734,0,8,1.0,6.25
735,0,10,1.0,5.0
736,0,10,1.0,5.0
737,0,10,1.0,5.0
738,0,10,1.0,5.0
739,0,6,1.0,8.333333333333334
740,0,11,1.0,4.545454545454546
741,0,12,1.0,4.166666666666667
742,0,11,1.0,4.545454545454546
743,0,9,1.0,5.555555555555555
744,0,10,1.0,5.0
745,0,10,1.0,5.0
746,0,9,1.0,5.555555555555555
747,0,7,1.0,7.142857142857143
748,0,11,1.0,4.545454545454546
749,0,11,1.0,4.545454545454546
750,0,10,1.0,5.0
751,0,11,1.0,4.545454545454546
752,0,9,1.0,5.555555555555555
753,0,4,1.0,12.5
754,0,9,1.0,5.555555555555555
755,0,7,1.0,7.142857142857143
756,0,7,1.0,7.142857142857143
757,0,11,1.0,4.545454545454546
758,0,8,1.0,6.25
759,0,9,1.0,5.555555555555555
760,0,6,1.0,8.333333333333334
761,0,4,1.0,12.5
762,0,9,1.0,5.555555555555555
763,0,5,1.0,10.0
764,0,9,1.0,5.555555555555555
765,0,7,1.0,7.142857142857143
766,0,8,1.0,6.25
767,0,12,1.0,4.166666666666667
768,0,10,1.0,5.0
769,0,7,1.0,7.142857142857143
770,0,10,1.0,5.0
771,0,7,1.0,7.142857142857143
772,0,11,1.0,4.545454545454546
773,0,5,1.0,10.0
774,0,4,1.0,12.5
775,0,9,1.0,5.555555555555555
776,0,5,1.0,10.0
777,0,10,1.0,5.0
778,0,2,1.0,25.0
779,0,8,1.0,6.25
780,0,8,1.0,6.25
781,0,9,1.0,5.555555555555555
782,0,11,1.0,4.545454545454546
783,0,12,1.0,4.166666666666667
784,0,3,1.0,16.666666666666668
785,0,10,1.0,5.0
786,0,11,1.0,4.545454545454546
787,0,12,1.0,4.166666666666667
788,0,8,1.0,6.25
789,0,10,1.0,5.0
790,0,11,1.0,4.545454545454546
791,0,11,1.0,4.545454545454546
792,0,10,1.0,5.0
793,0,11,1.0,4.545454545454546
794,0,10,1.0,5.0
795,0,11,1.0,4.545454545454546
796,0,12,1.0,4.166666666666667
797,0,12,1.0,4.166666666666667
798,0,10,1.0,5.0
799,0,9,1.0,5.555555555555555
800,0,9,1.0,5.555555555555555
801,0,6,1.0,8.333333333333334
802,0,10,1.0,5.0
803,0,4,1.0,12.5
804,0,9,1.0,5.555555555555555
805,0,9,1.0,5.555555555555555
806,0,8,1.0,6.25
807,0,9,1.0,5.555555555555555
808,0,11,1.0,4.545454545454546
809,0,10,1.0,5.0
810,0,11,1.0,4.545454545454546
811,0,7,1.0,7.142857142857143
812,0,10,1.0,5.0
813,0,11,1.0,4.545454545454546
814,0,9,1.0,5.555555555555555
815,0,8,1.0,6.25
816,0,6,1.0,8.333333333333334
817,0,6,1.0,8.333333333333334
818,0,8,1.0,6.25
819,0,9,1.0,5.555555555555555
820,0,4,1.0,12.5
821,0,10,1.0,5.0
822,0,9,1.0,5.555555555555555
823,0,11,1.0,4.545454545454546
824,0,9,1.0,5.555555555555555
825,0,8,1.0,6.25
826,0,2,1.0,25.0
827,0,10,1.0,5.0
828,0,9,1.0,5.555555555555555
829,0,12,1.0,4.166666666666667
830,0,12,1.0,4.166666666666667
831,0,8,1.0,6.25
832,0,12,1.0,4.166666666666667
833,0,10,1.0,5.0
834,0,5,1.0,10.0
835,0,7,1.0,7.142857142857143
836,0,10,1.0,5.0
837,0,12,1.0,4.166666666666667
838,0,4,1.0,12.5
839,0,10,1.0,5.0
840,0,10,1.0,5.0
841,0,4,1.0,12.5
842,0,10,1.0,5.0
843,0,6,1.0,8.333333333333334
844,0,12,1.0,4.166666666666667
845,0,12,1.0,4.166666666666667
846,0,9,1.0,5.555555555555555
847,0,10,1.0,5.0
848,0,11,1.0,4.545454545454546
849,0,10,1.0,5.0
850,0,9,1.0,5.555555555555555
851,0,12,1.0,4.166666666666667
852,0,8,1.0,6.25
853,0,10,1.0,5.0
854,0,4,1.0,12.5
855,0,6,1.0,8.333333333333334
856,0,6,1.0,8.333333333333334
857,0,9,1.0,5.555555555555555
858,0,12,1.0,4.166666666666667
859,0,9,1.0,5.555555555555555
860,0,11,1.0,4.545454545454546
861,0,8,1.0,6.25
862,0,12,1.0,4.166666666666667
863,0,12,1.0,4.166666666666667
864,0,11,1.0,4.545454545454546
865,0,9,1.0,5.555555555555555
866,0,7,1.0,7.142857142857143
867,0,10,1.0,5.0
868,0,5,1.0,10.0
869,0,12,1.0,4.166666666666667
870,0,11,1.0,4.545454545454546
871,0,10,1.0,5.0
872,0,6,1.0,8.333333333333334
873,0,11,1.0,4.545454545454546
874,0,11,1.0,4.545454545454546
875,0,8,1.0,6.25
876,0,8,1.0,6.25
877,0,9,1.0,5.555555555555555
878,0,8,1.0,6.25
879,0,4,1.0,12.5
880,0,8,1.0,6.25
881,0,7,1.0,7.142857142857143
882,0,7,1.0,7.142857142857143
883,0,10,1.0,5.0
884,0,6,1.0,8.333333333333334
885,0,7,1.0,7.142857142857143
886,0,9,1.0,5.555555555555555
887,0,11,1.0,4.545454545454546
888,0,11,1.0,4.545454545454546
889,0,9,1.0,5.555555555555555
890,0,10,1.0,5.0
891,0,7,1.0,7.142857142857143
892,0,9,1.0,5.555555555555555
